frame,wall_time,game_time,progress,path_tile_index,speed,side_speed,steer,gas,brake,gear,rpm,wetness,segment_heading_error,next_segment_heading_error,fl_material_id,fl_material_name,fl_contact,fl_slip,fl_icing,fl_dirt,fr_material_id,fr_material_name,fr_contact,fr_slip,fr_icing,fr_dirt,rl_material_id,rl_material_name,rl_contact,rl_slip,rl_icing,rl_dirt,rr_material_id,rr_material_name,rr_contact,rr_slip,rr_icing,rr_dirt
25,1777369188.224337,39.770000,0.000000,0,6.911400,-0.022800,0.000000,0.000000,1.000000,1.000000,1834.153809,0.000000,0.025109,0.025109,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
26,1777369188.234336,39.779999,0.000000,0,6.833400,-0.021600,0.000000,0.000000,1.000000,1.000000,1732.153809,0.000000,0.025535,0.025535,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
27,1777369188.244336,39.790001,0.000000,0,6.654800,-0.018800,0.000000,0.000000,1.000000,1.000000,1494.153809,0.000000,0.026456,0.026456,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
28,1777369188.253338,39.799999,0.000000,0,6.566800,-0.017700,0.000000,0.000000,1.000000,1.000000,1375.153809,0.000000,0.026884,0.026884,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
29,1777369188.262337,39.810001,0.000000,0,6.406800,-0.016400,0.000000,0.000000,1.000000,1.000000,1154.153809,0.000000,0.027625,0.027625,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
30,1777369188.271335,39.820000,0.000000,0,6.334001,-0.015600,0.000000,0.000000,1.000000,0.000000,1052.153809,0.000000,0.027946,0.027946,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
31,1777369188.282336,39.820000,0.000000,0,6.250000,-0.014200,0.000000,0.000000,1.000000,0.000000,933.153809,0.000000,0.028303,0.028303,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
32,1777369188.292336,39.840000,0.000000,0,6.085200,-0.012700,0.000000,0.000000,1.000000,0.000000,994.153809,0.000000,0.028962,0.028962,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
33,1777369188.302341,39.840000,0.000000,0,6.015600,-0.012100,0.000000,0.000000,1.000000,0.000000,1030.153809,0.000000,0.029227,0.029227,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
34,1777369188.312337,39.860001,0.000000,0,5.867600,-0.011000,0.000000,0.000000,1.000000,0.000000,1174.153809,0.000000,0.029760,0.029760,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
35,1777369188.322348,39.869999,0.000000,0,5.712000,-0.010400,0.000000,0.000000,1.000000,0.000000,1335.153809,0.000000,0.030283,0.030283,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
36,1777369188.335338,39.880001,0.000000,0,5.635600,-0.009700,0.000000,0.000000,1.000000,0.000000,1415.653809,0.000000,0.030526,0.030526,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
37,1777369188.345338,39.889999,0.000000,0,5.496400,-0.008400,0.000000,0.000000,1.000000,0.000000,1565.153809,0.000000,0.030945,0.030945,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
38,1777369188.354338,39.900002,0.000000,0,5.422501,-0.008000,0.000000,0.000000,1.000000,0.000000,1645.653809,0.000000,0.031156,0.031156,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
39,1777369188.365338,39.910000,0.000000,0,5.287800,-0.007400,0.000000,0.000000,1.000000,0.000000,1795.153809,0.000000,0.031520,0.031520,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
40,1777369188.374338,39.919998,0.000000,0,5.216701,-0.006700,0.000000,0.000000,1.000000,0.000000,1875.653809,0.000000,0.031703,0.031703,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
41,1777369188.383346,39.930000,0.000000,0,4.874800,-0.006000,0.000000,0.000000,1.000000,0.000000,2025.153809,0.000000,0.032020,0.032020,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
42,1777369188.392343,39.939999,0.000000,0,4.555400,-0.005700,0.000000,0.000000,1.000000,0.000000,2020.153809,0.000000,0.032178,0.032178,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
43,1777369188.402339,39.950001,0.000000,0,3.948800,-0.004400,0.000000,0.000000,1.000000,0.000000,1799.153809,0.000000,0.032453,0.032453,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
44,1777369188.411336,39.959999,0.000000,0,3.614800,-0.004000,0.000000,0.000000,1.000000,0.000000,1680.153809,0.000000,0.032591,0.032591,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
45,1777369188.421339,39.970001,0.000000,0,3.276000,-0.004000,0.000000,0.000000,1.000000,0.000000,1561.153809,0.000000,0.032723,0.032723,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
46,1777369188.431336,39.980000,0.000000,0,2.630500,-0.002700,0.000000,0.000000,1.000000,0.000000,1340.153809,0.000000,0.032949,0.032949,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
