#{"t_start": 1777351104.5269413, "env_id": "None"}
r,l,t,episode_metrics
-1000.0,332,419.461484,"{'term': -1.0, 'progress': 0.0, 'time': 2.059999942779541, 'distance': 3.720945358276367, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,333,424.817017,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 3.075995445251465, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,327,430.109016,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 0.933397650718689, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,331,435.451128,"{'term': -1.0, 'progress': 0.0, 'time': 2.049999952316284, 'distance': 3.853393793106079, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,332,440.91413,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 2.3956658840179443, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-993.714286,1142,454.424756,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 10.220000267028809, 'distance': 56.71418762207031, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-1000.0,327,459.814295,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 2.4776158332824707, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,329,465.111299,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 3.3123528957366943, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,329,470.417297,"{'term': -1.0, 'progress': 0.0, 'time': 2.0199999809265137, 'distance': 2.0272469520568848, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-990.571429,1289,485.485377,"{'term': -1.0, 'progress': 8.571428571428571, 'time': 11.789999961853027, 'distance': 81.38798522949219, 'fitness': -991428571.4285715, 'progress_delta': 0.0, 'last_reward_progress': 8.571428571428571, 'reward': -991.4285714285714}"
-1000.0,330,490.807911,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 1.8451647758483887, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,327,496.113456,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 3.631793737411499, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,640,504.566062,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 5.159999847412109, 'distance': 18.820114135742188, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-990.571429,1056,517.529596,"{'term': -1.0, 'progress': 8.571428571428571, 'time': 9.529999732971191, 'distance': 91.81696319580078, 'fitness': -991428571.4285715, 'progress_delta': 0.0, 'last_reward_progress': 8.571428571428571, 'reward': -991.4285714285714}"
-993.714286,960,529.309668,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 8.40999984741211, 'distance': 75.28050231933594, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-1000.0,343,534.843202,"{'term': -1.0, 'progress': 0.0, 'time': 2.240000009536743, 'distance': 3.709883213043213, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,376,540.630752,"{'term': -1.0, 'progress': 0.0, 'time': 2.5299999713897705, 'distance': 5.849668979644775, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
